idx: 63, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 64, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 65, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 66, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 67, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 68, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 69, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 70, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 71, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 72, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 73, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 74, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 75, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 76, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 77, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 78, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 79, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 80, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 81, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 82, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 83, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 84, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 85, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 86, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 87, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 88, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 89, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 90, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 91, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 92, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 93, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 94, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 95, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 96, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 97, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 98, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 99, acc: 1.0000, auroc: 0.0000, f1: 1.0000
